,Description,Duration,Location,Occurred,Posted,Reported,Shape
10,"In Pasadena, California, at about 12:57a.m., Sunday, September 10th, 2017, my husband and I were traveling north on El Molino Ave., passing Colorado Blvd., when all of a sudden, we saw a light shoot straight down from the sky and disappeared into the mountains.  It happened so fast I wonder if anyone else saw it?",Duration:Few seconds,"Location: Pasadena, CA",Occurred : 9/10/2017 00:57  (Entered as : 09/10/17 00:57),Posted: 9/12/2017,Reported: 9/10/2017 4:07:21 AM 04:07,Shape: Light
11,"We were on interstate 5, headed south to California, when I noticed a big bunch of lights off to my left in the trees.  and made the comment that the metal color was amazing.  And so I turned my attention forward and not 70 ft to my right I saw the first one it was what I initially thought it to be a drone of some sort so I started filming it.  and I noticed the one way in the sky watching me and to more were on each side of the truck.  I have 20 pictures and about 10 min videos  I know some thing happened there and need some help with this please.  it thru something at me.  and the events on the highway and the animals are still in can't rap my brain around this?((NUFORC Note:  We will invite the witness to share her photos.  PD))",Duration:6 hours,"Location: Medford/Weed, CA",Occurred : 9/10/2017   (Entered as : 09/10/17 100=800),Posted: 9/12/2017,Reported: 9/12/2017 9:18:11 AM 09:18,Shape: Cylinder
12,"Formation of red lights over Monroe, Ohio.Between the hours of approximately 10:30 pm EST and 10:45 pm EST, I observed a tight procession/single file flight of what could have been anywhere from eight to twelve red lights flying in an unremarkable yet ""eerie"" manner from the NNE to a SW direction.  I am not discounting the possibility that these could be aircraft perhaps heading towards either Florida or Texas for hurricane relief operations - but these ""aircraft"" had only a red light(s) as far as I could discern, and there were a lot of them following each other in a ""one by one"" procession.  They flew over neighboring Middletown, Ohio, which is next door to Monroe - at a relatively low altitude.  They did not originate from the proper direction of Wright Patterson AFB - but from farther North.  There were no unusual flight behaviors that would differentiate them from typical aircraft - but I could not hear any noise that I could directly associate with them.  The scene struck me as being very creepy.Neighborhood dogs were barking - but I was unsure if this was because of the objects - or because I was standing on my porch and they heard me making remarks such as, ""Oh my God!"" - and ""You must be ((word deleted)) kidding me!"".",Duration:15 minutes,"Location: Monroe, OH",Occurred : 9/9/2017 22:30  (Entered as : 09/09/2017 22:30),Posted: 9/12/2017,Reported: 9/9/2017 9:23:33 PM 21:23,Shape: Light
13,"Some friends and I saw a strange blinking light, red, green, blue, and white.  Flying somewhere above northern California.  Moving slowly, very slowly.  Eastword and upward.((NUFORC Note:  Twinkling stars??  PD))",Duration:3 hours,"Location: Redding, CA",Occurred : 9/9/2017 22:00  (Entered as : 09/09/17 22:00),Posted: 9/12/2017,Reported: 9/10/2017 12:19:17 AM 00:19,Shape: Triangle
14,"Low flying Triangle craft with Blue and White lights on each corner near Booneville, Missouri, over Hwy. 70We were traveling East on Hwy 70 around the 100 to 106 Mile Marker.  We were in the passing lane, when the craft came across both lanes (from the North) at a very very low altitude (Just above the tree line).  We all look and our first thought was a Drone, as we own one, but then quickly realized the size was too large for a drone.  It was triangle in shape with three lights, one at each corner that was the color of white and blue.  The craft climbed altitude quickly in a southward direction.  We were able to see the craft for several minutes.  I immediately downloaded a flight tracker app and opened, but no crafts matched the location and path.  I also checked the stats for take offs at the closest airport in Booneville, MO, but on airplanes were reported at that facility for the date and time.",Duration:Seconds,"Location: Boonville, MO",Occurred : 9/9/2017 22:00  (Entered as : 09/09/17 22:00),Posted: 9/12/2017,Reported: 9/10/2017 8:15:16 PM 20:15,Shape: Triangle
15,"Bright flash of light in Central Alberta.As we were walking around 10:00 pm, the night of the 9th, we both saw a huge, bright flash of light in the sky, looking in the north direction.  The sky was clear that night (could see a few stars already...  It wasn't a beam; it didn't travel or hover.  Just a quick bright flash of light.  Like something in the sky had taken a picture of us (example just to give an idea of duration and type of light).",Duration:1 second,"Location: Lacombe (Canada), AB",Occurred : 9/9/2017 21:45  (Entered as : 09/09/17 21:45),Posted: 9/12/2017,Reported: 9/10/2017 8:22:18 AM 08:22,Shape: Light
16,"5 bright, silent spheres.At 9:37 pm my husband and I were sitting in our backyard having a bonfire, when the first of five round, bright ""things"" flew overhead.  It was low, bright orange, silent, and moving in a straight line at a high speed.  Then as soon as it reached a certain distance, a second one followed.  Same speed, color, and sound moving in the same direction.  This continued 3 more times.  All the same.  We tried to video it, but it is hard to see.  When we are able to slow the video down and zoom in, you can see the sphere changing colors.",Duration:5 minutes,"Location: Macedonia, OH",Occurred : 9/9/2017 21:37  (Entered as : 09/09/17 21:37),Posted: 9/12/2017,Reported: 9/9/2017 8:37:18 PM 20:37,Shape: Sphere
17,"Three orange lights in a triangle formation above the horizon in the Poconos.About thirty minutes ago, just before 9:30 p.m. I spotted three small round orange lights in the sky in upside down triangle formation (Two lights on top, one on bottom) near my home in Newfoundland, PA.  I was pulling off the main road onto my road and spotted the lights just above the tree line.  I drove downhill to the bottom of the road to follow the lights which were visible on and off through the trees and were moving southeast.  I lost sight of the lights at the dead end of the road.  Then I drove out onto route 447 north (as going south nothing would be visible due to tree cover) to see if I could spot them again.  I saw two of the three lights barely visible just above the horizon, for about 20 seconds before they disappeared.  There could have been some spotty cloud cover, so perhaps they just disappeared behind clouds, although the stars were visible when I was  back at my house.  Tobyhanna army depot is south of the area about 10 miles.  I don’t know if this could somehow have been connected with that depot.  Witness is a ((specialty deleted--medical specialist)).",Duration:6 minutes approx.,"Location: Newfoundland, PA",Occurred : 9/9/2017 21:30  (Entered as : 09/09/17 21:30),Posted: 9/12/2017,Reported: 9/9/2017 7:37:42 PM 19:37,Shape: Light
18,"Orangish lights rising in the distance. Began to fade in and out as they went overhead. Then disappeared.The lights seemed to be rising out of the northeast.  A little left of where the sun rises. Solid orangish lights from far away.  I thought they might be rising flares or low flying large planes.  But there were no sounds or blinking lights.  There were approx 3 separate groups of the same lights with 3-4 in each group.  As they got closer and overhead, the light would fade out.  Then it would light up 3 to 6 time as it flew overhead.  Sort of like a lightning bug.  But it was above the clouds, which were at least a couple thousand feet.  When overhead, they were more white than orange. They seemed to be moving faster than a jet if it was 35,000 feet.  But only moving as fast as a fast small plane if it was a few hundred feet.  They covered way too much area, too fast and too high to be a drone, unless there are some serious long distance ones out there.  No blinks no sound at all.  They were rising 3 or 4 at a time.  And I might have seen 8 to 12.  Over a 2-3 minute pe! riod.  The lights were heading south west with no erratic movements, other than fading lights.  There was some sort of fast jet that flew over just prior to me seeing the first lights in the distance.  That was why I looked up in the first place.   It didn't sound like the normal commercial planes that frequent Myrtle Beach.",Duration:3-4 minutes,"Location: Myrtle Beach, SC",Occurred : 9/9/2017 20:08  (Entered as : 9-9-17 20:08),Posted: 9/12/2017,Reported: 9/9/2017 7:29:09 PM 19:29,Shape: Other
19,"Immobile, white dot, not shiny and appeared to be very high in altitude.I was at the soccer field at California State University/Long Beach, when I noticed a small white dot in the sky not moving at all.  It looked like it was very high up and did not look like anything I have ever seen before in the sky, as it was very still and was not shiny.  It was next to a crescent shaped cloud (within the crest, south east from where I was), which I found interesting because I found video footage online of the same object I saw, sitting in the crest of a cloud that looked just like the one that I had seen, which also occurred in Long Beach.I spotted the object while doing sit-ups, and stared at it for about 45 seconds.  I switched positions to do a different exercise and took my eyes off the object for about 5 seconds, when I looked back the object was no where to be seen.  And that's when I started to actually digest what I may had just seen.  I stopped my workout and scanned the area of sky I originally saw the object, for about 5-10 minutes.  I was baffled that it had just disappeared so quickly after I looked away for a brief moment.",Duration::45,"Location: Long Beach, CA",Occurred : 9/9/2017 18:12  (Entered as : 09/09/17 18:12),Posted: 9/12/2017,Reported: 9/10/2017 9:22:40 PM 21:22,Shape: Circle
20,"It looked like a plane at first, but I noticed it was simply white with no wings at all.  It also had a slight metallic shine to it.  As my greyhound bus was entering Atlanta, GA, from Tampa, FL, (while escaping hurricane Irma), I saw it fairly low in the sky and close enough to see clearly.  It seemed to be hovering in one spot and it looked like it could have been larger than a passenger aircraft.  There was no distinguishable front or end to the craft, it looked as though the ends of the cigar shaped craft were flat.  It did start to look like it was drifting farther away from the greyhound bus, but not because were were on the highway, but because it was drifting directly away from the highway, going Eastward, even though it was pointing North/South.",Duration:1 minute,"Location: Atlanta, GA",Occurred : 9/9/2017 13:00  (Entered as : 09/09/2017 13:00),Posted: 9/12/2017,Reported: 9/10/2017 9:02:31 AM 09:02,Shape: Cigar
21,"Tear drop, silent, hover, silver reflective surface.Laying in hammock watching clear sky and object appeared suddenly.  It was silver, silent, tear drooped in shape and hovered over us for about two minutes, before we finally decided to get out of the hammock to investigate.  We are 100% certain it was not a plane because a plane actually flew under it while we watched hover.  Ha!  That provided size perspective relative to the Boeing 737.  It seemed to be about a quarter of the size of the plane.  We could also hear the planes engines but this craft was silent.  Its movements we odd.  It seemed to be able to move side to side a little.  It even seemed to shoot up at one point.  Then it finally took off at a high rate of speed.  It was so strange.",Duration:8 minutes,"Location: Florence, KY",Occurred : 9/9/2017 12:04  (Entered as : 09/09/17 12:04),Posted: 9/12/2017,Reported: 9/9/2017 10:09:56 PM 22:09,Shape: Teardrop
22,"Seen a light go across the sky higher than a plane would be in a faster pace, and seen two more about 15 min later heard no sound",Duration:45 sec,"Location: Williamson, NY",Occurred : 9/9/2017 09:00  (Entered as : 09/09/17 9:00),Posted: 9/12/2017,Reported: 9/9/2017 6:43:18 PM 18:43,Shape: Light
23,"I initally saw one very bright light that looked like a very bright satellite.  My girlfriend then said,&quot; look, there's a 2nd one.I initally saw one very bright light that looked like a very bright satellite.  My girlfriend then said,"" look, there's a 2nd one flying with it.  And then we saw a 3rd light.The three lights were flying in,a large triangle formation in a Northern direction.The sorthernmost light was much brighter than the other two, bit then quickly the front light became the brightest.After about 30 seconds the lead light shot across the sky.  It looked just like a dim shooting star. The other two lights quickly faded away.I have no explation as to what earthly objects or craft/crafts would be capable of what we witnessed.",Duration:30 seconds,"Location: Rothbury, MI",Occurred : 9/8/2017 21:45  (Entered as : 09/08/17 21:45),Posted: 9/12/2017,Reported: 9/8/2017 7:31:14 PM 19:31,Shape: Triangle
24,"It's a clear cool night.I was letting the dog out in front of house and looked at the stars.I noticed a bright white light originated from the northwest moving quickly to the northeast.It moved at a constant urgent speed it began brighter than a bright star, and as it traveled, it went bright to dim and smaller until not visible.Like a passing ball would seem bigger as it got closer and then smaller as it got further away.It made no sounds and no trails.",Duration:20 seconds,"Location: Zionsville, IN",Occurred : 9/8/2017 21:41  (Entered as : 09/08/17 21:41),Posted: 9/12/2017,Reported: 9/8/2017 7:08:08 PM 19:08,Shape: Sphere
25,"Blueish orb which flew away to the North into clouds.MY VEIWING REPORT:  On Friday evening 9/8/17, at approximately 9:45 PM, I was looking at what I thought was a beautiful blueish moon, when with an unbelievable speed the moon (or orb as it seemed to turn out to be) flew from south to north into the clouds as witnessed by my adult daughter also.",Duration:~1 minute,"Location: Murray, UT",Occurred : 9/8/2017 21:30  (Entered as : 09/08/17 21:30),Posted: 9/12/2017,Reported: 9/11/2017 1:39:19 PM 13:39,Shape: Sphere
26,Two pair of orange star like objects observed at equal distance moving about.I saw two pair of orange lights at the same distance from each other over the city of Syracuse meandering over the clouds before they were not seen anymore.,Duration:4 minutes,"Location: Syracuse, NY",Occurred : 9/8/2017 20:30  (Entered as : 09/08/2017 20:30),Posted: 9/12/2017,Reported: 9/8/2017 6:51:57 PM 18:51,Shape: Light
27,"Metallic object fell from sky in front of me while I was driving north a few miles south of Albuquerque Airport.First, let me say that this was not a UFO in the sense of something alien, but it was definitely something falling from the sky (Unidentified Falling Object) on September 8, 2017, at 1825.I was driving north on I-25 a few miles south of the Sunport exit.  All of a sudden, this object fell out of the sky in front of me to my left.  It came diagonally across the highway at fairly close range.  I was driving past a collection of large white oil storage (?) facilities that were on the left.  The object seemed to fall between the highway and those tanks.It was hard to judge size but perhaps two fists in size might be a good guess.  It appeared to be shiny metallic but was not on fire or glowing in any way.  Made me wonder if a piece had fallen off a jet flying in that area.  If I had time, I might want to drive back there and look on the ground to see what I might find.",Duration:split second,"Location: Albuquerque, NM",Occurred : 9/8/2017 18:25  (Entered as : 09/08/17 18:25),Posted: 9/12/2017,Reported: 9/9/2017 12:00:18 AM 00:00,Shape: Egg
28,"15 white dots visible for minutes, changing formations. Moving in multiple directions at steady speeds and even movement.  No lightsI witnessed and have numerous pictures of white dots that moved like satellites, but in multiple directions, but even and steady like satellites.  Not balloons, not birds.  White dots.  Very very high up.  May have been triangular in zooms.  12 then 3.  Pictures show changing formations of dots.  They started to move west and disappeared.  They are currently on my instagram ""lanadelmama"" in two posts that are blue skies (to identify which posts.)",Duration:3 to 5 minutes,"Location: Baltimore, MD",Occurred : 9/8/2017 17:00  (Entered as : 09/08/17 17:00),Posted: 9/12/2017,Reported: 9/9/2017 5:26:18 PM 17:26,Shape: Disk
29,"SHINY WHITE OBJECT IN THE SKY, VERY VISIBLE TO NAKED EYE.APPROXIMATELY 10A.M., WHILE WORKING, NOTICED A WHITE ROUND FIGURE IN THE SKY.  CO-WORKERS WITNESSED THIS AS WELL.  SHAPE DID NOT MOVE FOR SEVERAL HOURS.  AT ONE POINT, WHILE LOOKING AT THE SHAPE, IT DISAPPEARED.  THE OBJECT WAS GONE FOR A TIME LONG ENOUGH TO CALL THE REPORTING CENTER.  WHILE ON THE PHONE, THE OBJECT RE-APPEARED.  NOT SURE IF IT WAS THE ANGLE THE SUN WAS HITTING THE OBJECT OR IF IT MOVED MOMENTARILY.  CALLED FRIENDS AND COWORKERS AT DIFFERENT LOCATIONS TO CONFIRM WHETHER OR NOT THEY WERE ABLE TO SEE IT.  THEY COULD SEE AND DESCRIBE THE OBJECT AS I SAW IT.  BY APPROXIMATELY 3:30, THE OBJECT WAS GONE. THE OBJECT WAS EASILY SEEN FROM THESE THREE COORDINATES:  1)  LAT-41 56'16.31""N LON-96 27'42098""W  2)  LAT-41 43'52.06""N LON-96 30'5.32""W  3)  LAT-41 47'2.32""N LON-96 13'12.51""W((NUFORC Note:  We spoke with the witness via telephone on two occasions, and he seemed to us to be exceptionally serious-minded, and unusually capable as an objective witness.  PD))",Duration:4.5 hours,"Location: Lyons, NE",Occurred : 9/8/2017 10:00  (Entered as : 9/8/17 10:00),Posted: 9/8/2017,Reported: 9/8/2017 1:07:23 PM 13:07,Shape: Oval
30,"Bright white sphere high in the morning sky, illuminating light grows in size, then vanishes in an instant.I was traveling to work along Beltway 8 East in Houston, TX, this morning, Friday, 9/8/17, at 8:45am, and noticed an extremely bright light high in the clear blue sky.  The illuminating light was spherical and grew in size, somewhat changing shape, then decreased in size, then completely disappeared in an instance.  It did this three times within a period of 3 minutes or less. It definitely was not an airplane; there was never any definite shape that formed, no white trail of smoke, no clouds around it, no sound (though it was very high in the sky). I called my husband immediately to share what I had seen, as I was perplexed as to what it could be and very excited, it sounded like other UFO sightings I’ve heard described.  I’m trying to find out if there are other local reports of people witnessing the same thing.",Duration:2-3 minutes,"Location: Houston, TX",Occurred : 9/8/2017 08:45  (Entered as : 09/08/17 08:45),Posted: 9/8/2017,Reported: 9/8/2017 10:43:06 AM 10:43,Shape: Sphere
31,"Was driving to work on I-5 north this morning.  Some mornings you can see hot air bolloans out, I noticed one in the sky and suddenly I noticed to the left of the hot air balloon.  There were three solid dark grey disk shaped objects flying in and out of the smokey haze, (from recent forest fires in Oregon) like they were playing together.  It lasted about 15 seconds then they just vanished.  It was a stunning sight!",Duration:15 seconds,"Location: Aurora, OR",Occurred : 9/8/2017 07:00  (Entered as : 09/08/2917 7:00),Posted: 9/12/2017,Reported: 9/8/2017 6:35:08 PM 18:35,Shape: 
32,"Saw 2 bright white lights, 1 red light, and 1 green light hovering above 35E North of HWY 96, Next to Polar Lakes Park.Aircraft hovered over roadway as we approached, we overtook it at 60 MPH.  After we passed it it strafed left and right a few times then headed West.It appears to be drone, however, as I drone pilot, I did not recognize the shape or lights at all. It did not strobe in the way that a normal drone or manned aircraft would.Everyone in the vehicle saw it as well.Light pattern was Whites on the outside, with red and Green in the middle.  Like this -&gt; W R G W  Aircraft appeared to be about 1 meter in width and flying at an altitude of 100'  A drone in that size category is many thousands of dollars (and difficult to fly) which would place it in the professional category, since no events or construction are going on in the area, it would be unusual for an aircraft such as that to be in there area and flying at night and over a road (both of which require extensive permits from the FAA).",Duration:5 minutes,"Location: Vadnais Heights/White Bear Township, MN",Occurred : 9/7/2017 23:30  (Entered as : 09/07/17 23:30),Posted: 9/8/2017,Reported: 9/8/2017 10:47:34 AM 10:47,Shape: Chevron
33,It was round blinking lights all colors red pink green all colors Slightly moving over time along with several others of the same((NUFORC Note:  Source elects to remain totally anonymous; provides no contact information.  Probably a hoax.  PD)),Duration:Hours,"Location: Stoney Creek, TN",Occurred : 9/7/2017 23:00  (Entered as : 09/07/2017 23:00),Posted: 9/8/2017,Reported: 9/7/2017 9:35:30 PM 21:35,Shape: Oval
34,"Strange colored lights blinking and moving erratically in south Denver sky.I first noticed 2 distinctive lights.  one red and one green.  The red light was in the upper left and the green light was to the bottom right.  The lights were solid, then they began to blink.  Both started blinking in a pattern that was frequent in wavelength like that of a plane, but then they started blinking independently instead of at the same time.  Then the green light went out and the red light started moving up and down erratically and very precisely.  Then the green light came back on and blinked very erratically and the red went off.  It then flew overhead at incredible speed from the north sky to the south sky and descended out of view.  When it flew overhead, it was pure silence.  My friend who also saw it accounts that he saw blue and white lights too.  He was certain he saw them, but I am certain I did not.  We both watched very intently.  No craft was actually seen, only two lights.",Duration:1 minute,"Location: Denver, CO",Occurred : 9/7/2017 23:00  (Entered as : 09/07/2017 23:00),Posted: 9/8/2017,Reported: 9/7/2017 10:51:40 PM 22:51,Shape: Other
35,"2 maybe 2 1/2 foot being behind my neighbors air conditioning unit, beige color three fingers, and teal eyes that kind of seem to shimmer...then I don't know if it was a he, but he back out of the light and, I didn't feel fear, nervousness nothing, it was a numbing feeling, like nothing to be afraid of...the sound he made that made me look up was ""chima, chima""((NUFORC Note:  On two occasions, we attempted to telephone the source of this report, and she hung up, both times.  Probably a hoax.  PD))((NUFORC Note:  Source, a young woman, finally called back, and asserted that she had mistaken a Halloween costume stored in her garage for an alien creature. (!!)  PD))",Duration:3 minutes,"Location: Mount Clemens, MI",Occurred : 9/7/2017 22:18  (Entered as : 09/07/17 22:18),Posted: 9/8/2017,Reported: 9/7/2017 7:31:56 PM 19:31,Shape: 
36,"Black triangle over Texas.My wife and I had our neighbors over for dinner.  It was about 9:30 or 10:00.  When my neighbor saw this thing just appear.  It was a black triangle the moon was coming up so you could see the outline on the sky.  It had a grid of lights across the bottom, larger ones on the edges.  They were flashing and changing all colors. It moved north to south over the top of the houses in my back yard.  Much bigger than an airplane.  It moved steadily and silently across the sky at a good rate of speed.  We watched it just slowly fad out and disappear at a steady speed.  Their was three of us that witnessed it and it lasted about 15 seconds.",Duration:10 seconds,"Location: Richmond, TX",Occurred : 9/7/2017 22:00  (Entered as : 09/07/17 22:00),Posted: 9/8/2017,Reported: 9/8/2017 6:20:34 AM 06:20,Shape: Triangle
37,"Glowing Egg Shaped UFO with Flashing LightsUFO sighted 9/7/2017 over west end Billings, MT, at 10:00 P.M., until 11:00 P.M..  UFO was egg shaped, glowing grey-blue, with flashing lights (red, blue, green).  UFO had ring of small white lights around circumference in 3 bands.  UFO hovered in place for close to 30 minutes, then slowly moved west and north out of site.  UFO was observed with naked eye, but required spotting scope to see details mentioned above.  Skies were clear with a little smoke caused by fires in Montana.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:1 hour,"Location: Billings, MT",Occurred : 9/7/2017 22:00  (Entered as : 09/07/2017 22:00),Posted: 9/8/2017,Reported: 9/8/2017 2:23:11 PM 14:23,Shape: Egg
38,"Driving down Henderson RD towards High St with my boyfriend, we saw what appeared to be 2 connected oval/disk like crafts that had bright glow.  Upon inspection, did not appear to be a drone or blimp.  I honestly have never seen anything like it before and was shocked, as it was a busy evening and there were many people out and about.  We watched and observed for as long as we could, whilst driving, and when our view was blocked by trees for a few minutes, we could not longer see the UFO.",Duration:5 minutes,"Location: Columbus, OH",Occurred : 9/7/2017 21:20  (Entered as : 09/07/17 21:20),Posted: 9/8/2017,Reported: 9/8/2017 2:43:45 PM 14:43,Shape: Oval
39,"Multiple round orange lights traveling horizontally, East to West, at low altitude.I saw a few strange orange lights outside my window.  I live near Orlando International Airport so several planes fly overhead every hour, these lights did not look at all like planes or helicopters.  A plane will have a red light on the left wingtip, a green light on the right wingtip, and a strobe light in the center.  This was a solid orange light, there were several of them traveling from East to West, and they appeared to be at relatively low altitude.  There were also planes in the sky at the time and these lights were drastically different, they sort of looked like flares but were traveling completely horizontally.  When one passed particularly close I thought it sounded like a rocket engine but it could have been the sound of a jet passing overhead.  A buddy of mine saw them outside his house about 15 minutes later; he lives nearby and also saw the orange lights traveling horizontally East to West.    Video: https://youtu.be/n251RhdLho8",Duration:5 minutes,"Location: Winter Springs, FL",Occurred : 9/7/2017 20:26  (Entered as : 09-07-17 20:26),Posted: 9/8/2017,Reported: 9/7/2017 6:58:23 PM 18:58,Shape: Light
