,Description,Duration,Location,Occurred,Posted,Reported,Shape
10,"A low flying matchstick with a flame moving east!When riding in the car we were at a stop sign, when with no sound it looked just li((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:2 minutes,"Location: Bowling Green, KY",Occurred : 7/16/2016 00:00  (Entered as : 7/16/2016 0:00),Posted: 7/22/2016,Reported: 7/17/2016 7:39:17 PM 19:39,Shape: Other
11,"3 orange/yellow lights in a triangle on E Independence.Driving down E independence toward uptown Charlotte around 11:50 pm, I saw 3 orange/yellow lights in a triangle….it was a lot bigger than a plane and seemed a lot lower than a plane would fly and there was no sound that I heard.I have never seen anything like this and I was so freaked out I wish I could go back because I should have pulled over and filmed it.",Duration:45 seconds,"Location: Charlotte, NC",Occurred : 7/15/2016 23:50  (Entered as : 07/15/2016 23:50),Posted: 7/22/2016,Reported: 7/15/2016 9:57:01 PM 21:57,Shape: Triangle
12,"orange orb, silently crossed sky over Oakland, NJ, wsw to eneI saw an orange light.  high in the sky, it moved slowly acrossed the sky from wsw to ene  it made no sound, it was bigger than any airplane light, and disappeared over the horizon of trees by my house",Duration:1 minute,"Location: Oakland, NJ",Occurred : 7/15/2016 23:30  (Entered as : 07/15/16 23:30),Posted: 7/22/2016,Reported: 7/15/2016 8:54:34 PM 20:54,Shape: Circle
13,Translucent sphere with flame in  the middle.Saw a translucent sphere with what appeared to be a flame in the middle.  It hovered over a house 100feet in front of me then flew off,Duration:3 minutes,"Location: Waves, NC",Occurred : 7/15/2016 23:00  (Entered as : 07/15/16 23:00),Posted: 7/22/2016,Reported: 7/15/2016 8:32:47 PM 20:32,Shape: Sphere
14,"Bright orb shaped light in distaces got brighter, then moved over freeway, light went off triangle shaped craft w three glowing ports.Driving in slow lane southbound I-5, when we witnessed a huge bright whitish star-looking light in southwestern sky.  We noticed the light was to large and to be a star and kept growing in size and intensify.  We also noticed the object was moving towards the freeway.  The light on this object stated to fickler as it moved over I-5.  The large light then went out and we both got very quiet as we could see a triangle shaped craft with three small lights on it.  As we continued down I-5, we drove right under it and through the sun roof on my highlander I could see two small windows on the side of the vehicle.  The object was black and hard to see.  I have seen strange objects in the sky in this area before.  The entire area between Woodburn and Salem is very deserted.",Duration:3-5 minutes,"Location: Brooks, OR",Occurred : 7/15/2016 22:30  (Entered as : 07-15-16 10:30pm),Posted: 5/6/2017,Reported: 5/2/2017 10:12:44 AM 10:12,Shape: Triangle
15,"Bright orange orbs in sky over tree line.Orange orb intercepted by oncoming orange orb. Separated into three orbs after becoming large and bright.  Have videos.((ADDENDUM FROM WITNESS))No, it was last night July 16th (sic.  15th.) 2016.  Apologies for the misinformation.  I was somewhat befuddled by the whole incident.  Thank you for the inquiry.  I wasn't sure how to correct the date.I have three videos ranging from 5+ minutes to just over 1. Sincerely, A very sober and non drug taking/using, ((name deleted))((END ADDENDUM))",Duration:10 minutes,"Location: Big Lake, AK",Occurred : 7/15/2016 22:30  (Entered as : 01/16/2016 22:30),Posted: 7/22/2016,Reported: 7/16/2016 12:10:21 PM 12:10,Shape: Changing
16,"10 solid, non-blinking orange lights moving from Southeast to Northwest in the night sky.  Totally silent.  An airplane moved from South to North at the same time that was much higher that made an obvious jet sound.",Duration:1 minute,"Location: Denton, TX",Occurred : 7/15/2016 22:30  (Entered as : 07/15/16 22:30),Posted: 7/22/2016,Reported: 7/15/2016 8:47:29 PM 20:47,Shape: Sphere
17,"A very bright white dotWhile outside, I observed a very high flying craft above an aircraft which was in the area and well above the broken clouds.  At 1st it was head NE from the SW.  When I first observed it I assumed it was a satellite or the space station which I have watch in the past, until it made a hard left right turn, followed by a very fast u turn to the left.  I can honestly say I've never seen anything move so quick and make turns like it was doing in my life!  It ended up traveling west at a very very fast speed.",Duration:5 minutes,"Location: Anderson, IN",Occurred : 7/15/2016 22:15  (Entered as : 07/15/16 22:15),Posted: 7/22/2016,Reported: 7/16/2016 10:58:47 AM 10:58,Shape: Sphere
18,"Addendum to previous report:  These lights were first observed at a point nearly due South of my observation point in the back yard.  They were very near the Moon, which was at an angle of about 30 degrees in the Southern Sky.  These lights moved very slowly East to West, and maintained position in relation to one another while moving.  I believe that, while the brightest lights were what first caught my eye, there were other smaller lights that seemed to move with them.  At this angle, and with trees surrounding and shrouding our view, I would estimate as many as 30 lights. When we went out to the front yard was when we saw the scope of the lights.  What we had observed previously was just a small section of the sky.  Now we saw a band of these lights stretching from the Southern horizon to nearly the Northern one, almost 180 degrees, covering a fairly narrow band that bisected the night sky.  This immense band of lights moved in a Westerly direction until hazy clouds obscured it.",Duration:15-20 minutes,"Location: Broomfield, CO",Occurred : 7/15/2016 21:05  (Entered as : 7/15/16 21:05),Posted: 7/22/2016,Reported: 7/16/2016 10:42:20 AM 10:42,Shape: Light
19,"Formation of moving lights moving East to West across nearly the entire night skyAt approximately 9:05 PM, I was sitting in my backyard with my girl friend, relaxing after dinner.  The 3/4 moon was shining in the Southern sky, observable through the willow tree branches in the yard.  I looked up at the moon and was surprised to see what appeared to be the Big Dipper at first, just to the East of the moon.  I was surprised to see a constellation that close to the moon, because the brightness usually obscures stars.  As I watched, I could see that there were not just 4-6 lights, but many more, and then I noticed the entire array moving from East to West.  We moved to a position where we could see more of the sky, and these lights were in a ""V"" formation, with the point of the v heading West in the direction of travel.  After about 7-8 minutes, they moved out of the line of sight, and we went to the front yard where there are no trees to obstruct the sky, and saw an array of moving lights from the Southern horizon almost to the Northern horizon.  I would describe the formation as a series of those V's I described, in linear format running North to South almost like the serrated edge of a saw blade.  The sky became misty with clouds and after a total viewing time of about 20 minutes, we could no longer see these lights.((NUFORC Note:  We spoke at length via telephone with the witness, and found him to be both eloquent, and sober-minded.  We suspect that he is a highly reliable witness.  PD))((ADDENDUM FROM WITNESS))Addendum to previous report:  These lights were first observed at a point nearly due South of my observation point in the back yard.  They were very near the Moon, which was at an angle of about 30 degrees in the Southern sky.  These lights moved very slowly East to West, and maintained position in relation to one another while moving.  I believe that, while the brightest lights were what first caught my eye, there were other smaller lights that seemed to move with them.  At this angle, and with trees surrounding and shrouding our view, I would estimate as many as 30 lights.  When we went out to the front yard was when we saw the scope of the lights.  What we had observed previously was just a small section of the sky.  Now we saw a band of these lights stretching from the Southern horizon to nearly the Northern one, almost 180 degrees, covering a fairly narrow band that bisected the night sky.  This immense band of lights moved in a Westerly direction until hazy clouds obscured it.((END ADDENDUM))((ADDENDUM #2 FROM WITNESS))BroomfieldSecond addendum...Corroboration!  This is a neighborhood chat site with a discussion that occurred during the phenomenon.  Photo included! https://columbinemeadowsco.nextdoor.com/news_feed/?post=28894053((END ADDENDUM #2))",Duration:15-20 minutes,"Location: Broomfield, CO",Occurred : 7/15/2016 21:05  (Entered as : 07/15/16 21:05),Posted: 7/22/2016,Reported: 7/16/2016 9:01:21 AM 09:01,Shape: Light
20,"Unkown object hovers in sky above prison complex.On 7/16/2016, at approximately 2030 hours, an object was observed above the South Boise Correctional Complex.  This object was silver and oval shaped.  It stayed in the same place in the sky for approximately an hour and a half.  It was seen by almost all the staff and some of the inmates at the prison.The next day a man wandered out of the desert, stating he'd been lost in the desert for three days.  This mysterious man was whisked away by local law enforcement.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:2 hours,"Location: Boise, ID",Occurred : 7/15/2016 20:30  (Entered as : 7/15/2016 20:30),Posted: 7/22/2016,Reported: 7/16/2016 3:09:34 PM 15:09,Shape: Oval
21,"Triangle of pulsating lights (plus 2 below).  Lights appeared towards the tail end of the storm cloudsWas looking north east at fast approaching storm clouds.  Noticed a bright light, thinking it was a plane.It was to early in the evening for stars.  Continued watching mostly for the storm clouds.then noticed another Light.  Then 3 more.They were pulsating lights whith a auora  around them.  Similar to a light from a flashlight.   Three which were in a triangle form.  Which from a distance would have had to have been 1/4- 1/2 mile apart.  The other lights seemed to come out of the lower lights in the triangle.  And sat below the triangle.  Approximately the same distance apart as the 3 in the triangle.The lights would appear and disappear separately due to the clouds.When they moved it was in unison. Either up or down ,side to side etc.The lower lights would move similarly.  They also could have been in triangular form.  Though may not have seen a third light due to the clouds.I have not seen planes or helicopters move in this manner, which is why I felt I should report the incident.",Duration:4-6 minutes,"Location: Edmonton, AB",Occurred : 7/15/2016 20:10  (Entered as : 07/15/2016 20:10),Posted: 7/22/2016,Reported: 7/15/2016 9:31:26 PM 21:31,Shape: Triangle
22,"Shinny Cigar Shaped Object HoveringOn July 15th, 2016, a bright sunny clear day, at about 1:25 pm, while driving east on Sandra Ave and Oak’s St in Tulare, Ca.  I looked up and saw what at first I thought was a helicopter at about 3,000 to 5,000 feet high.  I asked my wife to check it out?  What as it a helicopter?  Just hovering there not going nowhere?  Then my wife and I got to looking at it closer it was just sitting hovering over on the same place the entire time.  We noticed it did not appear to have wings it was cigar shaped shiny silver-blueish in color. I notice it appeared to have like a glass dome over the top.  But it had no wings.  After watching if for about a minute it just disappeared.  In front our very eyes.There was not a cloud in the sky and clear and sunny about 96 degrees.",Duration:1 minute,"Location: Tulare, CA",Occurred : 7/15/2016 13:25  (Entered as : 07/15/16 13:25),Posted: 7/22/2016,Reported: 7/16/2016 12:28:33 AM 00:28,Shape: Cigar
23,"Triangular UFOSeen a triangular shaped object in the sky with the top tip with a constant right and the bottom points with synchronized flashing lights.  This all lasted 1 min, if at that.  The sky was dark so could not make out the build of the UFO.The lights dimmed and vanished after about 1 min..((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:1 minute,"Location: San diego, CA",Occurred : 7/15/2016 04:45  (Entered as : 7/15/16 4:45),Posted: 7/22/2016,Reported: 7/15/2016 8:39:42 PM 20:39,Shape: Triangle
24,"Oval craft hovering 4ft off ground.  8ft to the right was a ""grey.""Lightning storm woke us (3 adults 29 yrs old to 55yrs old) at just before 3am.  Looked out window into field about 80 ft away.  Oval craft hovering 4ft off ground.  8ft to the right was a ""grey.""  Visible for several minutes in several lighting strikes.  Then just gone.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:5 minutes,"Location: Hasty, CO",Occurred : 7/15/2016 03:00  (Entered as : 07/15/16 3:00),Posted: 7/22/2016,Reported: 7/21/2016 1:11:45 AM 01:11,Shape: Rectangle
25,two yellow light subjects with stable speed but changing their place with each other crossed the sky in a straight way in plain heightsWe were 4 on the roof and we saw 2 subjects like stars but a little yellow.  hey had no sounds.  they were crossing the sky in a straight line but they change their place with each other frequently in 180 degrees and then they return to their previous situation.  with this harmony they croosed the sky with a stable speed.  their light were mat and turbid.  they went further and further till they disappeard.,Duration:5 minutes,"Location: Tehran (Iran), ",Occurred : 7/15/2016 02:38  (Entered as : 07/15/2016 2:38),Posted: 7/15/2016,Reported: 7/14/2016 6:05:17 PM 18:05,Shape: Light
26,"Small craft drops out of larger a craft over Rollins LakeAt appox 0030hrs., 15 July, myself and a friend were in a 22 ft boat on Rollins Lake, located 5 miles from Colfax, CA.  At that time we were heading sw at approx. 5 kts in the center of the main body of the lake, when we observed a very bright light that we assumed was a large low flying aircraft.  However what caught our interest was that the ""aircraft's"" lights were so bright that they made its nav lights impossible to see.After about 2 min into the event, we saw a small and far less bright  dot of light that seemed to just drop out of the larger aircraft.  The smaller light stayed with the other aircraft for a few seconds and the desended in altitude and then flew west at a moderate speed and it also displayed a flashing light.The larger aircraft continued on a sw heading flying directly over us.  Not until the aircraft had past us did we see any navigation lights.Also, the larger aircraft while at an altitude  of maybe 5,000 to 7,00 feet made almost no noise.  This is the second such event I've seen in a month in this area.",Duration:10 minutes,"Location: Colfax, CA",Occurred : 7/15/2016 00:30  (Entered as : 07/15/2016 0:30),Posted: 7/22/2016,Reported: 7/15/2016 4:57:34 PM 16:57,Shape: Light
27,"On Thursday July 14, 2016, at around 11:30 pm, I went outside for one last cigarette before bed.  It was a beautiful clear night, so I was staring at the stars at the time of the sighting.  I also would like to note I live in a lightly wooded rual area.   I suddenly noticed a single bright object coming from the east heading west directly over my neighbors' yard.  It appeared from behind a cluster of trees and passed over my neighbors' house, before then disappearing  behind a wooded area on the opposite side.There were no trees behind the house, so I had a good visibility.  The house was roughly 80 yards from my porch.  The distance between the two clusters of trees would be roughly about 100 yards.  It was flying slightly below tree level, which I would guess to be about 30-40 ft.  I lost sight of the object after it disappeared behind the trees, and out of my view.The object appeared to be a basketball size sphere, with a silver glow to it.  It also left a trail behind it, also silver, that I estimated to extend roughly 7-8 ft behind the object.  It wasn’t extremely bright, more dimly lit I would say.  It did not illuminate the trees or the ground it passed over.  It was also moving very quickly.  If I would have blinked, I might have missed it.  I would say it cleared 100 yards in about 3-4 seconds.  I also did not notice any noise coming from the object.After the sighting, I was in shock over what I had just witnessed.  What shocked me the most is how low  to the ground it was flying.  I hope someone may be able to shed some light as to what this object was.",Duration:,"Location: Lapel, IN",Occurred : 7/14/2016 23:30,Posted: 7/22/2016,Reported: 7/18/2016 7:15:29 PM 19:15,Shape: Sphere
28,"White dimming object north of Cedar Falls Mall andWhat appeared to be the brightness star on the northern side of my location started to shift south at a steady speed.  It was a solid white color, no more distinctions could be made.  The further it moved, the less light it gave off.  Within 250 yards of its starting point, it couldn't be seen. 23 minutes later,  it was seen again going north, 75 yards West of where it was seen last.  It shone yellow very brightly as a flash, then disappeared.  Conventional and iridium satellites have been ruled out.",Duration:4 minutes,"Location: Cedar Falls, IA",Occurred : 7/14/2016 23:15  (Entered as : 7/14/16 23:15),Posted: 7/15/2016,Reported: 7/13/2016 10:21:34 PM 22:21,Shape: Unknown
29,"Unknown Lights in Night SkyUFO SIGHTING on July 14, 2016 – DESCRIPTION:  This is the full description of the event I personally witnessed.The event took place on the night of Thursday – July 14, 2016.The start time was about 2145 hours Eastern Daylight Time.My iPhone 6s recorded my first photo being taken at 09:48:09 PM-EDT.The events duration was about 15 minute--until about 2200 hours EDT.My location was in Warwick Township, Lancaster County, PA.My observation coordinates again per my iPhone were as follows: 40 degrees 7’ 56” North - by - 76 degrees 19’ 4” West - & - Elevation 390’.I was facing West at about 305 degrees from true North.The object appeared to be located at a very high altitude.It also appeared to be at a considerable distance from my location.Only 2 mall white dots seen – suddenly a red laser type beam went from near the 2 lights towards the northeast then laser went off and white lights were again all that remained – so then they moved east passing way overhead very slowly – with no noise!  It passed behind building & went out of sight.",Duration:15:00,"Location: Lititz, PA",Occurred : 7/14/2016 21:45  (Entered as : 07/14/16 21:45),Posted: 9/9/2016,Reported: 9/4/2016 10:41:49 AM 10:41,Shape: Unknown
30,"Fireball.Saw a teardrop shaped light with a blue green leading edge the big circular part, the body was bright white, appearing like a flag, waving, same visual effect, tapering to a point, where it was red.I'd was definetly losing altitude, it went behind some trees...  Blocking my view, I waited for a BOOM but nothing..  Between a quarter and a nickel sized ""image"" if the coin was held at arms length",Duration:4 seconds,"Location: Portland, OR",Occurred : 7/14/2016 21:30  (Entered as : 07/14/2016 21:30),Posted: 7/15/2016,Reported: 7/15/2016 1:25:49 AM 01:25,Shape: Teardrop
31,"Round craft with bright emerald lights flashed and disappeared the second time the lights flashed.I was looking up to the east and saw an aircraft flying from the south, going northeast at about 3500-4000 feet.  This craft was not completely circular, and was not quite oval.  It reminded me of the shape of a crown.  I could see the bottom and sides of it. It was moving slightly faster than the planes that come from the north towards Williams airport.  It had only once color of lights.  It had two horizontal rows of bright green lights around it, and around the craft, there were some vertical bright green lights in sections. The top and bottoms of the vertical lights seemed to extend from the craft.  As it moved, I saw a sudden flash of the lights getting brighter, then back to the original green.  It continued moving, and when in mid sky, in reference to my vantage point, the lights flashed brighter a second time.  After they flashed, I saw only sky and stars in its place. There was no sign of the aircraft. Also, there was a rough, low sound during the time I sa! w the air craft, but myself and the other person who wasn’t looking at the craft thought it was a car or some machine in the neighborhood, although an odd sound.  When the aircraft disappeared, the sound stopped. I've seen strange lights over years, rarely, but this was an actual aircraft unlike any that I've ever seen.  When the lights flashed on and then it was gone, it took me a moment to realize it was gone and not falling from the sky, which is what I would have expected.",Duration:15 seconds,"Location: Gold Canyon, AZ",Occurred : 7/14/2016 20:40  (Entered as : 071/14/16 20:40),Posted: 9/9/2016,Reported: 9/7/2016 7:03:57 PM 19:03,Shape: Other
32,"Cigar shaped flying object in NE sky over Burlington Township, NJSlow moving cigar shaped and flying over our development.  Saw it in the sky from my backyard, which is SW...the object was in the NE sky over the front of the house.  By the time I ran through to the front of the house it was miles away and and much smaller in the sky.  No way it could have gotten that far at the slow speed which was travelling.  When it was closer, I thought ""the plane"" looked funny at that angle...like it had no wings.  Then I noticed it was making a westerly turn and expected the wings to be revealed...but there were none.  That's when I went to the front of the house to get a better view in case I lost sight of it behind our trees.  (My house is only 30 feet long and I ran!!)  At first I thought it disappeared, but my husband and I saw it really small and very far away...in the NE sky...still moving very slowly.  Then it was gone.  There were no lights and no vapor trails.  Also, no sound!",Duration:5 minutes,"Location: Burlington, NJ",Occurred : 7/14/2016 18:00  (Entered as : 07/14/16 18:00),Posted: 7/15/2016,Reported: 7/14/2016 4:20:40 PM 16:20,Shape: Cigar
33,"I was watching a helicopter flying above me.  As I followed it, I noticed a black round object hovering in its flight path.  As the helicopter approached, the object disappeared.  About 30 seconds after the helicopter left, the object reappeared and flew in a NE direction.  The object was as high as the clouds and flew at what appeared to be the same rate as a commercial airliner.  I followed it until it left out of my view.",Duration:3 minutes,"Location: Petersburg, VA",Occurred : 7/14/2016 16:02  (Entered as : 07/14/2016 16:02),Posted: 7/15/2016,Reported: 7/14/2016 1:18:16 PM 13:18,Shape: Circle
34,"I was night swimming with my daughters and we talked about ufos.  I remember seeing a guy pray on youtube and ufos appeared and as iv had sveral sighting out here i figured i would try it.  Nothing happened.  My kids went in and as i was drying off i noticed a security light at the neighbors that i hadnt seen before.  Then to my surprise it lifted off.  I was about 2 yards or so from it.  I started yelling trying to get my wife to come out but she refused so i got my camera and started to shoot but my camera froze uo.  I think i have 1 fuzzy pic, but i watched it take off the the se after a short time it turned east  it was very large and appeard to have either a trail craft or a tail.. so crazy.  It was lit up and you could clearly see lights all around the middle if the craft. I was amazed. Im a disabled combat vet  served in iraq  inwas in the 101st airborne for 4 years. I was a 50 cal gunner in iraq i was a trained observer .   This was not natural. Iv had whit! e and orange orbs fly over my head before amd iv been under a black triangle. This thing was the oddest.  Please feel free tonuse this report amd call me.  Id really like to know if anyone else witnessed this amazing craft    .. it sat there looking like a security light for 45 min... it was watching us.",Duration:8 minutes,"Location: Wickliffe, KY",Occurred : 7/14/2016 10:00  (Entered as : July 14 26 10:00),Posted: 7/15/2016,Reported: 7/14/2016 8:31:29 PM 20:31,Shape: Disk
35,"Craft with lights circled around and made several passes over town and surrounding areasI was driving home from work and saw several lights in the sky. then I noticed that all the lights were part of the same craft.  When I got home I called my mom and wife to get in the car and we went to follow it.  It had about 4 to 5 white lights on it, 4 visible when coming toward us and during turning, and one visible from the back. It also had a red light blinking on it.  The craft was flying too low for regulated aircraft, even more so when over a town.  It circled around and made several passes over town and surrounding areas.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:30 minutes,"Location: Glennville, GA",Occurred : 7/14/2016 10:00  (Entered as : 07/14/16 10:00),Posted: 7/22/2016,Reported: 7/15/2016 8:27:07 AM 08:27,Shape: Triangle
36,"Red and green flashing orb above tree line followed by bizarre humming noise and overwhelming fear.I walked outside to get my cigarettes from my car, when suddenly, I felt a strange feeling.  I looked up and just beside the trees was a red and green flashing light, moving erratically in a zig-zag fashion, only to stop and hover for some time, leading me to conclude it was not a plane and could not be a star due to it's various flashing colors.  A hazy beam of light could then be seen emanating from it as if searching for something.  I stood there for nearly 10 minutes until I heard a dull humming noise coming from the direction of the UFO.  I felt suddenly overwhelmed with fear and ran back inside.",Duration:10 minutes,"Location: Apopka, FL",Occurred : 7/14/2016 02:00  (Entered as : 07/14/2016 2:00),Posted: 7/15/2016,Reported: 7/13/2016 11:43:15 PM 23:43,Shape: Light
