,Description,Duration,Location,Occurred,Posted,Reported,Shape
10,"((NUFORC Note:  Anonymous report.  We have no way of knowing whether the report is serious-minded, or whether it might be intended as a hoax.  PD))My son and I were driving home coming down I-83 N on our way home.  As I was driving, I saw something to my left but in front of me move very quickly.  It looked like a fireball that shot up into the sky then plummeted back down into the mountains.  The color though was strange.  It glowed and was almost like blue green, but more green then anything.  I almost wrecked my car and asked my son if he had just seen what I did.  He said yes, and asked what it was.  I really couldn't explain it.A few minutes later, we arrived at home.  We both are getting out of the car, when I hear a faint noise above me.  It's not loud like an airplane or a helicopter, but I could hear something.  I mentioned the sound being weird to my son, and as I said that I noticed he was staring up into the sky asking me what he was looking at.  So I looked and it was this huge, triangle, thing hovering in the sky.  It was moving, but at a pace where it was slow enough to watch.  I stared at it in pure disbelief.  It was triangular in shape, black or like a very dark gray in color, had a circle on the bottom with lines through it of what I could see and a red light on each corner of the triangle.  It was also very low.  If it would have come down a few like 12 feet further, it would have hit the tops of the houses where I live.My son was so scared and was yelling for me to go inside, but all I could do was stand there and watch it move.  It took about 7 minutes to fully disappear back into the sky, but was gone just as fast as it appeared.A few days later the electric in my home started going haywire.  I would come home from work to see all of my clocks blinking.  I had to reset things in my house about 7 times over the last 2 weeks but no one else in our area had any kinds of issues.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:~15 minutes,"Location: Harrisburg (near; on I-83), PA",Occurred : 11/1/2016 19:30  (Entered as : November 1 19:30),Posted: 12/5/2016,Reported: 11/20/2016 2:16:20 AM 02:16,Shape: Triangle
11,"Light in sky.Bright white light crossing sky 045 to 060 course from SSW to ENE.  Silent.  Looked just like ISS.  I thought it was the ISS, but my programmed alert didn't chime, realized this after object passed almost overhead.  I went online and verified ISS was not visible at time of sighting.  Estimated magnitude -2.5 to -3.  Much brighter than usual satellites other than Iridium flares or ISS.  It was probably reflected light as it faded rapidly in NNE direction like it passed into earths shadow.  No noticeable direction changes and light was very constant in intensity until rapidly fading as previously stated.  Probably a rather large orbital object.",Duration:3 minutes,"Location: Phil Campbell, AL",Occurred : 11/1/2016 18:30  (Entered as : 11/01/2016 18:30),Posted: 11/4/2016,Reported: 11/1/2016 6:38:48 PM 18:38,Shape: Light
12,"I was watching coast helicopter hovering 10 feet off water for 30 mins in same spot, after about 20 mins, a boat came in and helicopter was following boat for with spot light for another 15 mins within 10 feet of boat '  They started moving north after about 10 mins I seen a super bright circle take off super fast in opposite direction ! I have seen an object that bright move so fast , then the object disappeared in 10 seconds ,  I have video of helicopter hovering but did not get light taking off in oppposite direction ! I had already shut my phone off !",Duration:30 minutes,"Location: Ft. Lauderdale, FL",Occurred : 11/1/2016 18:30  (Entered as : 11/1/2016 18:30),Posted: 11/4/2016,Reported: 11/1/2016 4:36:26 PM 16:36,Shape: Light
13,"After dark I saw a white light maybe 1000 feet in front of a low flying jet travelling due north at a relatively slow speed for a jetAt 6:30 pm (it was dark)I heard a jet flying relatively low. As I looked up at it, maybe two thousand feet up, I also saw a white solid light maybe 1000 feet in front of the jet.  The jet was flashing with all the normal red and green lights and was pretty loud because of the low altitude.  The white solid light in front never flashed, no noise and headed straight north with the jet maintaining the same distance behind the light fully until both were out of sight.  I could see both objects for about four minutes, starting my visual over the region of Meridian Street near Park Ave.  Flying from south to north, having visual contact well north of the city of San Jacinto, probably over the city of Banning when I lost sight of the objects.",Duration:4 minutes,"Location: Hemet, CA",Occurred : 11/1/2016 18:00  (Entered as : 110116 18:00),Posted: 11/4/2016,Reported: 11/1/2016 9:50:19 PM 21:50,Shape: Light
14,Stuck in traffic saw few people get out of car pointing towards sky saw 4 black diamond shaped objects just still in sky I still can't believe it.,Duration:15,"Location: Fairhaven, MA",Occurred : 11/1/2016 17:49  (Entered as : 11/01/2016 17:49),Posted: 11/4/2016,Reported: 11/1/2016 5:45:34 PM 17:45,Shape: Diamond
15,I witnessed a white dot moving slowly back and forth slowly then would sit stationary and then fade out out and reappear in another spot I then called to my family which then I was joined by my soninlaw and two daughter's when we continued to watch it for up to an hour and a half till it slowly moved toward san Jose California,Duration:90 minutes,"Location: Gilroy, CA",Occurred : 11/1/2016 17:00  (Entered as : 11/01/16 17:00),Posted: 11/4/2016,Reported: 11/1/2016 7:31:51 PM 19:31,Shape: Changing
16,"Hindenburg-shaped craft moving at helicopter speed.On this morning, I was getting out of my car for an appointment.  I looked up in the sky and there was this white fast moving Hindenburg shape craft moving across the sky.  It was the speed of a helicopter, if not a bit faster.  Shortly after that I noticed a regular airplane fly by and wondered if they saw it.",Duration:20 seconds,"Location: Bensalem, PA",Occurred : 11/1/2016 09:40  (Entered as : 11/01/2016 9:40),Posted: 11/4/2016,Reported: 11/3/2016 6:59:54 PM 18:59,Shape: Oval
17,Star-like orange object that could move in a way I've never seen before - that emitted smaller objects and have them return.At around 5am a bright orange object emitted a smaller object seeming to track the area.  I could tell it was not a star because it was moving.  It seemed to prefer a higher area in the sky--it would come down and then go back up.  It could change colors from orange to white.,Duration:Unknown,"Location: Albany, NY",Occurred : 11/1/2016 05:00  (Entered as : 11/1/2016 05:00),Posted: 11/4/2016,Reported: 11/1/2016 12:29:45 PM 12:29,Shape: Light
18,"We were in river oaks at a stop light right by river oaks movie theater. My husband and I were talking and were at a red light.  Suddenly we saw something fall from the sky and it looked like it curved down, like rolled down the sky.  Across the houston skyline.  It was not a shooting star and we both gasped and said- did you just see that?  It was a ball of light, that literally, fell from right, tumbling down two left.And then it was gone less than two seconds.  I just noticed the light, but my husband says it had a green tint.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:2 seconds,"Location: Houston, TX",Occurred : 11/1/2016 00:01  (Entered as : 11/1/2016 0:01),Posted: 11/4/2016,Reported: 11/1/2016 10:08:08 PM 22:08,Shape: Circle
19,"Fishing Narrow Bay facing north west, white spherical object appeared and jetted upward diagonally at about a 20° incline and dissapeard as it turned red.  Rate of speed was incredibly fast.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:3 seconds,"Location: Mastic Beach, NY",Occurred : 10/31/2016 23:00  (Entered as : 10/31/2016 23:00),Posted: 11/4/2016,Reported: 11/2/2016 3:41:33 PM 15:41,Shape: Oval
20,"What pulsating bar light on craft, apparently, with no sound...Outside smoking and checking out the sky, like I do every night. Been a while since I've seen anything worth reporting. I live a 20 minute drive from a major airport, so I'm constantly seeing commercial and personal aircraft coming and going all over the place.  This thing was not one of those things.There was no sound.  I only noticed it because I was looking up at the few stars I could see through the lite cloud cover.  First saw it right above me, and it had to have been at commercial aircraft level, so it was quite a ways away.  At first I just thought it was a commercial flight that had just taken off, but the lights weren't anything I'd seen before. Maybe it's something new, I don't know.  But instead of the usual flood-lights in from and small blinking white and read lights, I saw one long bar of white light pulsing at a steady, moderate, constant rate that did not change, accompanied by a pulsating round red light to the left of the white bar.I've never seen a white pulsating bar on any aircraft in my life.  So, I kept watching, wondering what it might be, and as it moved away, I noticed it appeared to sort of wobble left to right as it went, but it's extremely hard to tell when it's so dark out.  That could very well have just been my eyes not having any focal points.  I've seen stars appear to jump and wobble, so I can't say it was wobbling for sure.Other than that, it was on a fairly straight path North to South.  Right from the direction of the airport (North.)  As I watched it, that's when I realized I heard no sound. There's no way I would have missed sound from any commercial or private aircraft.  Just doesn't happen.  Any time I see a plane, I know the sound will hit after the usual delay.  Or I hear the plane and know where to find it by the sound.  This thing... no sound at all... none.  Not normal.  And it was moving at a pretty slow pace compared to major aircraft leaving the airport.  About the speed of a small aircraft.Unfortunately, in the dark, I couldn't tell how high it was, or what its size might be.Another I'll mention because it was very odd, although it may not be related at all... earlier in the day I heard a helicopter outside hanging around for a while... at least 3-5 minutes. I've lived here for a year and half and in this city for nearly a decade now, and I've never seen or heard any helicopter do that.  Every helicopter I've ever seen was headed somewhere and never hung around.  Maybe not be related, and it was at least a couple hours before I saw these lights, but I thought it was worth mentioning.",Duration:~5 minutes,"Location: Charlottesville, VA",Occurred : 10/31/2016 22:35  (Entered as : 10/31/2016 22:35),Posted: 11/4/2016,Reported: 10/31/2016 8:04:22 PM 20:04,Shape: Light
21,"Tracked lights then looked away and then they were gone, nowhere to be foundDriving down 663 and saw 3 orange ligts low in the sky.  Got out of my car to look and then saw a copter coming towards it and I looked away, then back and the lights were gone.  There was no clouds in the sky.",Duration:10 seconds,"Location: Pennsburg, PA",Occurred : 10/31/2016 19:55  (Entered as : 10/31/2016 19:55),Posted: 11/4/2016,Reported: 11/1/2016 9:19:16 AM 09:19,Shape: Unknown
22,"4 lights over Gretna NEAs 2 of my neighbors and myself were out with our children trick-or-treating at about 7:30p.m., I happened to glance up at the sky and notice a light flying towards us.  At first I didn’t think much about it, but as it drew closer I became more interested.It appeared to be at an elevation of about 1,000 ft, a constant blue light and made no sound.  It traveled from the Southwest to the Northeast in a straight line at what I estimate at about 150mph until it disappeared from sight.As we were waiting for our kids to go to the next house, we were talking and wondering if it was or was not a drone discussing elevation, size, speed, and color when we all saw a second object appear, this time green in color.  It followed the exact same flight path and seemed to be at the same elevation and be of the same size of the previous object.Just as the second object disappeared from sight we all turned to see a third blue object appear just where the first 2 had appeared.  It also followed the same flight path as the previous 2 objects.  Again as we lost sight of the third object, a fourth one appeared.This fourth object was also blue and traveled the same flight path at the same speed as the previous 3 but was flying at a higher elevation.After the fourth object left the area and we were teasing each other about getting our tin foil hats out, we watched a large airplane flying from the East to the West gaining altitude and we all noticed the differences between the objects and the plane itself.We aren’t sure what we saw but we know that it was not an airplane and chances are that they aren’t commercially available drones.  Also, I am a military aircraft mechanic and am very familiar with aircraft flight patterns, size, shape, styles, etc..",Duration:7 minutes,"Location: Gretna, NE",Occurred : 10/31/2016 19:30  (Entered as : 10/31/2016 19:30),Posted: 11/4/2016,Reported: 11/1/2016 6:02:27 AM 06:02,Shape: Light
23,"Baffling Green Orb In the Skies Of Wichita KansasOn Halloween night (31 OCT 16), at approximately 17:03, while trick or treating with my son, my wife, and myself witnessed a green object flying in the sky in the city of Wichita, Kansas.  Initially I thought this was a joke, a balloon, or drone, but the more I looked at it, I realized I was looking at an event I still cannot explain.  I am ex-military, aviation, meteorology, and astronomy are hobbies of mine.  I posses a science degree, and this was an exceptionally bizarre sighting.  Light appeared to be in the shape of an Asian paper lantern, but cropped at the top and bottom, was lime green and was internally lit.  Object was completely silent, and due to overcast, could not  have been more than 500 feet in altitude maximum.  Object was lit in a manner that I have never seen, it was not a LED, or filament bulb.  No light rays extended from the object.  Object did not deviate in altitude and flew very level, and crossed from South to North, where it became obscured by trees in my line of sight.  I asked my son who was in a slightly differing position, where it went, he said it continued in a straight line for a about another second, and curved upward at an accelerated rate of speed and disappeared in the cloud cover.  Again, I cannot explain what I saw, and can honestly state that this was not a drone, or weather related phenomena, and I have never seen a light source of this type.",Duration:1 minutes,"Location: Wichita, KS",Occurred : 10/31/2016 19:03  (Entered as : 31/10/16 19:03),Posted: 4/28/2017,Reported: 4/27/2017 2:32:25 PM 14:32,Shape: Light
24,"Several Star looking objects, mostly white and some red, far in the sky but not as far as stars,  moving south rapidly.  Too high for balloons.",Duration:10 minutes,"Location: Thomasville, GA",Occurred : 10/31/2016 17:30  (Entered as : 10/31/2016 17:30),Posted: 11/4/2016,Reported: 10/31/2016 7:57:51 PM 19:57,Shape: Other
25,"I was outside with my Husband and saw a strange looking round shiny Metallic object in the sky heading North, then the Object just disaI was outside with my Husband and saw a strange looking round shiny Metallic object for about one Minute in the sky heading North, then the Object just disappeared.  We both saw it.  There also was a Jetliner coming in from the East.  The Jetliner was leaving a Contrail as well as all the Jets were on this day.  We live 20 miles near the Atlantic City Airport so we see Airliners often.  The shiny Metallic Object left no Contrail.",Duration:1 minute,"Location: Tuckerton, NJ",Occurred : 10/31/2016 15:00  (Entered as : 10/31/2016 15:00),Posted: 11/4/2016,Reported: 10/31/2016 12:58:51 PM 12:58,Shape: Sphere
26,"several solid objects in clouds over Cracroft point. BC	Yesterday morning, I observed several objects over Cracroft Island, BC, via live feed camera. I was able to watch as the clouds floated around all of the objects, indicating to me that these were stationary.  Because of this I was able to count between five and seven objects. 	Their appearance was that of a solid cross or star shape.  The colors ranged from a very pale yellow/white, to a bright dandelion yellow.  These colors seemed to radiate like an aura rather than a beam or flash of light.  They were constant.  The objects also seemed to be roughly all the same size. 													 This occurence lasted around 15 min before the clouds fully obstructed the view.  As I said before these were solid objects, the clouds surrounded them.  To me this shows they were not planets or anything that would be that far away.  But that they were UFOs.  Hovering over us watching from the clouds.",Duration:15 minutes,"Location: Cracroft Island (Canada), BC",Occurred : 10/31/2016 11:40  (Entered as : 10/31/16 11:40),Posted: 11/4/2016,Reported: 11/1/2016 9:19:01 AM 09:19,Shape: Cross
27,"2 bright white lights, side by side.It was 6:35 A.M. and I noticed 2 bright lights in the northwestern sky, it was still dark.  If they were stars, I had never noticed them before in the morning sky.  I watched them for approximately 20 – 30 seconds.  They were side by side and very bright white, they never moved.  It was like they were on a dimmer switch, they then both faded to nothing.  I figured they were covered by clouds.  I watched for another 15–20 minutes, nothing reappeared.  I also realized that there were NO clouds in the sky.  They were NOT aircraft and there was no sound.  That’s it.",Duration:20-30 seconds,"Location: Fort Myers, FL",Occurred : 10/31/2016 06:35  (Entered as : 10/31/16 06:35),Posted: 11/4/2016,Reported: 11/1/2016 3:09:31 AM 03:09,Shape: Formation
28,"Pulsating bright light trying to use Sirius as camouflage with green and blue orbs darting about at very high altitudeUnidentified Pulsating Object Spotted over Delta County Colorado.  At 0530 on October 31, 2016, I took our dachshund outside for his morning constitutional.  We live on a farm, so I go out with him because of coyotes.  While waiting, a very distant speeding green orb caught my eye the same way a shooting star catches your attention, but you aren’t quick enough to see it.  It was in the South Western sky.  That caused me to notice a VERY bright star that looked unusual.  It seemed to be pulsating red, blue, and green.  It was VERY far away, but I watched it for about ten minutes to see if it was plane.  It stayed in exactly the same spot.I was very curious, so I went in to get the binoculars to study this phenomenon.  I watched it carefully, trying to think of scientific or man-made reasons behind what I was looking at.  Then, through the binoculars and with the naked eye, I could see the green orb near it.  Then, I saw a blue orb move around it.  I ran to get my son who is 17 and quite skilled with a telescope.  I continued observing the pulsating bright light which now seemed to incorporate the blue and green flashing pulses while my son was setting up the telescope.  The light was so bright it was illuminating the moisture in the atmosphere in its vicinity.  It was too bright for the telescope to see without a filter.  By the time we got the telescope figured out, there was too much light pollution from the sun to get a better look using the telescope.  I snapped a few photos, but it is so far away that they look jiggly.  One photo clearly shows a blue orb near the star-like object.I really think I saw a craft that was using a star as camouflage.  It was lined up with Sirius perfectly.  I watched it until 0700 and light out when I had to get ready for work.  It continued to pulsate with the addition of some red flashing.  My son and husband also saw the phenomenon with the naked eye and through the binoculars.  The only natural explanation I can think of was maybe I saw balls of plasma illuminated by Sirius as the blue and green were the same type of color as the Northern Lights.  I really do believe it was a craft though, trying to hide in the light and position of Sirius.  My son is convinced that it was outside of our atmosphere.  I think it was closer because of the clarity I could see the flashing colors through the binoculars.I know this sounds really strange, but please know that my husband and I are both college educated professionals who are also very conservative Christians.((NUFORC Note:  We do not know what the streaking green object was, but we suspect that the stationary object probably was a ""twinkling"" star, and possibly the star, ""Sirius.""  PD))((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:1.5 hours,"Location: Delta, CO",Occurred : 10/31/2016 05:30  (Entered as : 10/31/16 05:30),Posted: 11/4/2016,Reported: 10/31/2016 8:32:04 PM 20:32,Shape: Light
29,"TEMPE, AZ and ASU host fire side ball.  Three fire balls appear in the nights sky.  Do there little dance and then disappearinto the night.(My Wife and I are homeless.  She is a long time house wife and I amTonight my wife and I were setting outside of Arizona State University climatology lab Lab we were looking to the east-northeast when we saw two fireballs appear over the mountains to the east of the ASU complex they were floating flying to wards West Northwest in a erratic pattern they weren't going for a straight line A to B they were more like insects they hovered a couple of times in places and finally one of them went backwards and vanished.  another one appeared over the mountain Southeast and almost the same path.  Evant nay the last two Vanished and the night Was empty again.     One thing I forgot to mention is Not more than 20 Min Before the appearance Of these UFO's a local Pack of Coyotes started Yipping, Howlwg and Baying like it was a Full Moon.I also have a video of this its about 5 min.",Duration:5 minutes,"Location: Tempe, AZ",Occurred : 10/31/2016 01:16  (Entered as : 10/31/16 1:16),Posted: 11/4/2016,Reported: 10/31/2016 2:53:46 AM 02:53,Shape: Fireball
30,"Orange orb-shaped light arcing across the sky towards horizon at high speedI am a 17-year old male, currently done with high school, and am employed.  I am on two medications, ((deleted)) and ((deleted)), which are used to treat ((deleted)).  These medications have not caused hallucinations during the 2+ years I have been taking them.  This is my first sighting of something like this, although I've read very much about UFOs and seen many photos and videos of strange objects in the sky, but no videos I've seen match exactly what I saw.Very early this morning (Oct. 31 2016) I was sitting at my desk, which faces a window, while watching videos on my laptop.  Sitting at my desk and looking up, the sky takes up about 40% of my window, with my neighbor's house and yard toward the left side of the window taking up the other 60%.At about 12:25 AM (00:25), a sudden moving light in the sky caused me to be distracted from what I was doing and tilt my head to get a better view of the light, adding about 10% more of the sky to my view.The light was an orb/circle shape and was moving very fast, much faster than any plane I've seen in person, including military jets (at high altitudes).  It was bright orange in color. The orb was, from my perspective, about the size of a quarter.  I can't accurately estimate the altitude because the sky was dark at the time of the sighting.The orb flew into my view from the area of the sky to the right of my house and seemed to curve in a flattened, inverted U shape, like a ball being thrown, while moving away towards the horizon.The light disappeared after about 1 second of flight from where I saw it; it could have been in flight longer but I can't be sure because I only saw it once it came into my view of the sky.  After 3 hours, I have seen no other lights.",Duration:~1-2 seconds,"Location: Columbia, SC",Occurred : 10/31/2016 00:25  (Entered as : 10/31/2016 00:25),Posted: 11/4/2016,Reported: 10/31/2016 1:12:15 AM 01:12,Shape: Light
31,"Finished with my friend/lead building a bathroom, etc.  Boring tedious shit.  Picking fiance from work, we head back over afterwards.  After a few drinks we decided to go outside for a cigarette.  As my fiance and friend face me, a huge ball orb, lit up like I have never seen before.  I have seen A lot this was no comet just like  sighting I had before in forest oaks.  But this was downtown Greensboro.  Could barely see stars maybe few fingers full.  No one saw it at all. I've seen and studied ufology, etc., since I was 16 years old.  I know what I saw.  Brightest light blue orb or ship idk.  But I bet I could have drive 115 miles and found that ufo.  Chose to stay drink.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:30 seconds,"Location: Greensboro, NC",Occurred : 10/31/2016 00:00  (Entered as : 10/31/2016 0:00),Posted: 11/4/2016,Reported: 10/31/2016 12:13:48 AM 00:13,Shape: Fireball
32,"pairs of lights. one pair vibrated and chased each other.  Large structure outlined by star lights moved towards me.I went outside at 10:30 pm with my observing chair and 7x50s.  It was cloudy in every direction.  I swept around the sky three times.  I saw two white lights south of my position through my 7x50s. These white lights were just sitting there.  Suddenly, these lights began vibrating towards each other.  They would move far apart and then come together. All very quickly.  Back and forth.  Back and forth. Very fast.  I said to myself what the hell is this? This can't be.  These lights were moving very fast.I put down my 7x50s.  I looked up and down the street.  All was normal.  I looked directly at these vibrating lights. This cannot be.  These lights were vibrating very fast.  Then bang all stopped.  These lights sat still next to each other.  Then bang all of a sudden the left light started chasing the right light.  This chase moved in closed elliptical orbits.  These lights were moving so fast the light pattern that was created looked like a ball of string.  This cannot be I said to myself.  Finally both lights came to a stop.  They sat right next to each other. Now the sky started to clear.  This pair of lights started moving together towards my position slowly.  They came to a stop just short of my position.  The sky was now clear. I said this cannot be. The right side of the sky was filled with pairs of white light. There were about 14 pairs of lights. I said this cannot be. I looked up and down my street to see if I was seeing things. All appeared normal. Then on my left side and way! to the south I saw movement and then looked with my 7x50s. I saw what looked like a big structure moving towards me. It looked like a B-2 bomber but outlined with bright stars. There was a bright star at every apex except the nose. Instead there were two bright stars on either side of the nose. This structure moved with its left wing all the way down and its right wing all the way up. I saw right through this structure and thought I could see the background sky. This structure stopped abreast of the pair of lights on my right. This thing was big. It seemed like it was three times the size of a B-2 bomber. At this point I said to myself what the hell is going on? I then saw a light moving frm my right to my left. It was far off. I used my 7x50s. It was a small triangular craft. The craft was about 10 feet on its side and was self illuminated.  Each apex was gently rounded.  The craft appeared light brown to slightly yellow.  There was a white lens or glass circle in the center of the craft.  You could see this white window but it seemed to be lit from the outside.  This craft made no noise and there were no marker lights. I do not  know what lit up this craft.  I watched this craft for several minutes.  It disappeared off to my left.  I returned to look at the light show.  The sky was now completely normal.  I have no idea what I saw especially the vibrating lights and one light chasing the other light.  Many times over I said to myself I am not going to report this sighting.  Then I saw the picture of the lights posted on the NUFORC site dated March 12, 2017, from Tacoma, Washington.  My lights looked just like those lights except for pairing and vibrations and chasing.  Incident lasted about 30 minutes.",Duration:30 minutes,"Location: Kettering, OH",Occurred : 10/30/2016 22:30  (Entered as : 10/30/16 22:30),Posted: 4/7/2017,Reported: 3/26/2017 9:09:35 PM 21:09,Shape: Triangle
33,"Orange object traveling from East to West in Wellington FloridaGoing from East to West and moving at a relatively slow speed was an orange object and at times it seemed as though it was burning, getting somewhat larger then smaller in size.  Moved in straight line most of the times with the exception of zig-zagging as it moved out of view.  The was no sound with the movement.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:1 minute,"Location: Wellington, FL",Occurred : 10/30/2016 22:15  (Entered as : 10/30/16 22:15),Posted: 11/4/2016,Reported: 10/31/2016 6:31:48 AM 06:31,Shape: Oval
34,"Red fireballs over Oxnard Shores, CA.7 fireballs from west and 2 from east.  No sound.  2 from east converged and then moved apart.  Below clouds.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",Duration:10 minutes,"Location: Oxnard, CA",Occurred : 10/30/2016 21:30  (Entered as : 10/30/16 21:30),Posted: 11/4/2016,Reported: 10/30/2016 11:30:01 PM 23:30,Shape: Fireball
35,"i was walking my dog when he stop and sniffed the air.. looked up & saw flaming white light in sky.. QUICKLY flew away! 9:00 - Commenced on walk down Baxter St. with my dog (name: ((dog's name deleted)) (because he is black and white)) 9:05 - ((dog's name deleted)) starts barking, acting weird 9:10 - Unidentified flaming streak shoots through sky.  Only lasts a few seconds.  I am nervous.9:15 - Call wife who is taking care of sons at the house",Duration:10 seconds,"Location: Athens, GA",Occurred : 10/30/2016 21:10  (Entered as : 10/30/16 21:10),Posted: 11/4/2016,Reported: 10/30/2016 6:36:18 PM 18:36,Shape: Fireball
36,"Orange light, occasionally blinking.Sitting in my backyard at night while on my laptop (computer), facing towards the west, I noticed an orange sphere.  It flew in a straight line & occasionally it would start blinking. It looked like an aircraft navigation light, however I thought it was odd that it clearly was orange & not red.  It so happened that I was about to read reports on NUFORC & read that there were other reports in our state of ""orange"" lights/spheres.  If I had read these reports before seeing the orange light, I would have watched it longer.  But again, it was not a red navigation light; it was clearly orange like orange fruit, & I could see other red navigation lights to reference as there were multiple aircraft in the area.I just wanted to point out that I'm an Air Force veteran & have witnessed the ""triangle UFO"" & I have witnessed a ""green fireball"".  Both incidences included multiple witnesses.  This ""orange light"" incident however was not as vivid & clear and therefore, it may have been an actual aircraft; however, I believe that taking the other similar sightings into consideration, that for a few reasons it would be better to report this incident.",Duration:7 seconds,"Location: Fort Lauderdale, FL",Occurred : 10/30/2016 21:00  (Entered as : 10/30/16 21:00),Posted: 11/4/2016,Reported: 10/30/2016 6:39:18 PM 18:39,Shape: Sphere
